pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s,fan_speed_percent,fan_rpm,fan_dac_v
2026-06-06 00:04:36,DREAM_BotFan_1,2026-06-06 00:04:35,1780704275,2026-06-06 00:04:35,18703.6,22.74,52.12,469.0,NAN,1.324,NAN,NAN,NAN,80.0,5120.3,8.0
2026-06-06 00:04:40,DREAM_Sensors_1,2026-06-06 00:04:40,1780704280,00:04:40,27769.6,21.89,56.28,437.0,1014.5,1.148,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:41,DREAM_BotFan_1,2026-06-06 00:04:40,1780704280,2026-06-06 00:04:40,18708.6,22.76,52.12,471.0,NAN,1.325,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:04:45,DREAM_Sensors_1,2026-06-06 00:04:45,1780704285,00:04:45,27774.6,21.88,56.30,437.0,1014.5,1.147,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:46,DREAM_BotFan_1,2026-06-06 00:04:45,1780704285,2026-06-06 00:04:45,18713.6,22.75,52.10,463.0,NAN,1.325,NAN,NAN,NAN,80.0,5370.6,8.0
2026-06-06 00:04:50,DREAM_Sensors_1,2026-06-06 00:04:50,1780704290,00:04:50,27779.6,21.86,56.33,438.0,1014.5,1.145,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:51,DREAM_BotFan_1,2026-06-06 00:04:50,1780704290,2026-06-06 00:04:50,18718.6,22.75,52.14,460.0,NAN,1.324,NAN,NAN,NAN,80.0,5282.6,8.0
2026-06-06 00:04:55,DREAM_Sensors_1,2026-06-06 00:04:55,1780704295,00:04:55,27784.6,21.85,56.39,438.0,1014.51,1.143,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:04:57,DREAM_BotFan_1,2026-06-06 00:04:56,1780704296,2026-06-06 00:04:56,18724.6,22.75,52.09,502.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:05:00,DREAM_Sensors_1,2026-06-06 00:05:00,1780704300,00:05:00,27789.6,21.85,56.40,435.0,1014.5,1.142,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:05:02,DREAM_BotFan_1,2026-06-06 00:05:01,1780704301,2026-06-06 00:05:01,18729.6,22.76,52.14,498.0,NAN,1.325,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:05:05,DREAM_Sensors_1,2026-06-06 00:05:05,1780704305,00:05:05,27794.6,21.86,56.40,434.0,1014.49,1.143,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:05:07,DREAM_BotFan_1,2026-06-06 00:05:06,1780704306,2026-06-06 00:05:06,18734.6,22.75,52.11,496.0,NAN,1.326,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:05:10,DREAM_Sensors_1,2026-06-06 00:05:10,1780704310,00:05:10,27799.6,21.88,56.34,436.0,1014.5,1.146,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:05:12,DREAM_BotFan_1,2026-06-06 00:05:11,1780704311,2026-06-06 00:05:11,18739.6,22.76,52.10,498.0,NAN,1.326,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:05:15,DREAM_Sensors_1,2026-06-06 00:05:15,1780704315,00:05:15,27804.6,21.90,56.28,438.0,1014.49,1.149,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:05:17,DREAM_BotFan_1,2026-06-06 00:05:16,1780704316,2026-06-06 00:05:16,18744.6,22.74,52.06,499.0,NAN,1.326,NAN,NAN,NAN,80.0,5202.9,8.0
